datetime,open,high,low,close,volume,volume_currency,buy_sell,confirm
2025-11-06 14:30:00,102880.5,102898.1,102540.8,102673.9,3.07637532,315940.765406524,315940.765406524,1
2025-11-06 14:35:00,102598.5,102741.5,102334.6,102425.6,8.11310178,832416.588768481,832416.588768481,1
2025-11-06 14:40:00,102408.8,102676.3,102171.0,102448.7,4.6275955,474099.079021179,474099.079021179,1
2025-11-06 14:45:00,102504.9,102882.2,102504.9,102594.1,2.27288572,233457.385264435,233457.385264435,1
2025-11-06 14:50:00,102583.2,102644.8,102087.0,102113.3,5.85185852,599538.32914837,599538.32914837,1
2025-11-06 14:55:00,102098.0,102260.0,102012.1,102114.4,4.78451469,488445.675110315,488445.675110315,1
2025-11-06 15:00:00,102055.3,102147.5,101870.1,102005.0,7.38888046,753663.772781543,753663.772781543,1
2025-11-06 15:05:00,101998.4,102373.6,101981.3,102197.1,1.22424705,125137.704723098,125137.704723098,1
2025-11-06 15:10:00,102186.0,102438.7,102186.0,102220.5,4.82473024,493749.331670142,493749.331670142,1
2025-11-06 15:15:00,102198.8,102480.4,102087.0,102430.9,1.81350718,185485.407952181,185485.407952181,1
2025-11-06 15:20:00,102439.8,102892.1,102439.8,102570.7,2.22964817,229061.560503886,229061.560503886,1
2025-11-06 15:25:00,102649.0,102735.6,102395.0,102424.0,1.82326038,186928.999913254,186928.999913254,1
2025-11-06 15:30:00,102401.1,102401.1,102025.1,102231.5,3.3574091,343420.631264754,343420.631264754,1
2025-11-06 15:35:00,102206.8,102283.4,101901.8,101909.5,1.16116789,118480.309617508,118480.309617508,1
2025-11-06 15:40:00,101899.0,102104.2,101700.1,101771.1,4.43779358,451982.299191807,451982.299191807,1
2025-11-06 15:45:00,101795.3,101937.2,101602.0,101808.0,7.09886992,721937.878227842,721937.878227842,1
2025-11-06 15:50:00,101792.9,102118.6,101667.2,102110.0,14.44125763,1471060.522019471,1471060.522019471,1
2025-11-06 15:55:00,102077.4,102077.4,101849.0,101975.4,2.78355519,283775.169993821,283775.169993821,1
2025-11-06 16:00:00,101992.5,102099.9,101940.3,102099.9,2.35433145,240170.302331664,240170.302331664,1
2025-11-06 16:05:00,102113.1,102342.9,102062.3,102098.1,3.40431343,347824.182497237,347824.182497237,1
2025-11-06 16:10:00,102063.1,102096.0,101771.7,101771.7,1.56274482,159212.049324198,159212.049324198,1
2025-11-06 16:15:00,101752.9,101876.9,101533.9,101537.8,1.65189809,167942.430550089,167942.430550089,1
2025-11-06 16:20:00,101541.0,101732.7,101504.0,101729.1,7.47608862,759568.267081892,759568.267081892,1
2025-11-06 16:25:00,101739.7,101830.1,101607.4,101766.0,5.10826317,519792.678638595,519792.678638595,1
2025-11-06 16:30:00,101756.9,101756.9,101417.3,101468.0,2.45969652,249753.695590004,249753.695590004,1
2025-11-06 16:35:00,101481.0,101494.0,100918.0,100918.0,6.87198912,695010.33130928,695010.33130928,1
