datetime,open,high,low,close,volume
2026-03-27 04:20:00,68504.1,68570.0,68492.0,68492.0,10.41149978
2026-03-27 04:25:00,68492.0,68557.6,68468.1,68535.0,16.74213893
2026-03-27 04:30:00,68535.0,68605.7,68509.1,68596.0,25.13338129
2026-03-27 04:35:00,68596.0,68626.2,68589.0,68599.1,4.23235984
2026-03-27 04:40:00,68599.1,68620.0,68578.3,68586.9,6.32097067
2026-03-27 04:45:00,68587.0,68632.0,68586.9,68619.9,2.70158034
2026-03-27 04:50:00,68619.9,68628.0,68587.0,68592.6,9.3446899
2026-03-27 04:55:00,68592.5,68634.0,68565.1,68581.5,7.25969807
2026-03-27 05:00:00,68581.1,68591.5,68553.9,68576.4,17.68168772
2026-03-27 05:05:00,68576.4,68729.1,68555.2,68707.9,15.60873508
2026-03-27 05:10:00,68707.9,68819.9,68691.3,68810.9,15.50534707
2026-03-27 05:15:00,68811.0,68860.0,68785.8,68793.0,11.69693109
2026-03-27 05:20:00,68792.9,68792.9,68685.2,68689.0,11.54680455
2026-03-27 05:25:00,68687.0,68687.0,68591.4,68604.0,4.93924103
2026-03-27 05:30:00,68603.9,68622.0,68515.0,68583.1,11.95826053
2026-03-27 05:35:00,68583.0,68703.0,68577.4,68577.4,9.05295189
2026-03-27 05:40:00,68577.3,68635.5,68554.0,68605.1,4.11889326
2026-03-27 05:45:00,68605.0,68626.0,68583.0,68595.3,3.53206847
2026-03-27 05:50:00,68595.3,68619.1,68565.0,68604.1,9.16582603
2026-03-27 05:55:00,68604.1,68635.6,68601.1,68625.1,7.09369889
2026-03-27 06:00:00,68625.1,68646.9,68607.0,68611.9,2.25448983
2026-03-27 06:05:00,68610.1,68713.0,68570.6,68713.0,8.31663528
2026-03-27 06:10:00,68712.9,68758.6,68684.0,68754.9,6.37744633
2026-03-27 06:15:00,68755.9,68769.6,68717.0,68766.0,3.91559625
2026-03-27 06:20:00,68766.1,68803.3,68731.0,68802.0,3.57776608
2026-03-27 06:25:00,68801.9,68851.7,68751.5,68797.0,16.68918223
2026-03-27 06:30:00,68797.0,68835.4,68746.0,68797.1,8.43857669
2026-03-27 06:35:00,68798.9,68812.0,68744.9,68745.0,4.77776758
2026-03-27 06:40:00,68745.0,68772.0,68740.0,68742.1,5.95869237
2026-03-27 06:45:00,68742.0,68742.0,68651.7,68706.1,6.54202113
2026-03-27 06:50:00,68707.8,68744.1,68694.1,68713.4,12.19311172
2026-03-27 06:55:00,68713.3,68714.9,68644.0,68661.0,6.92452614
2026-03-27 07:00:00,68661.1,68692.8,68661.1,68688.0,1.6328359
2026-03-27 07:05:00,68687.9,68699.8,68610.0,68619.0,3.58695722
2026-03-27 07:10:00,68619.1,68915.0,68619.0,68861.1,25.84337218
2026-03-27 07:15:00,68861.7,68941.3,68810.1,68921.4,14.93507029
2026-03-27 07:20:00,68921.4,68964.0,68883.0,68883.0,10.51275547
2026-03-27 07:25:00,68883.0,68946.9,68882.1,68929.0,7.00877789
2026-03-27 07:30:00,68929.1,68948.9,68749.9,68762.2,49.4036979
2026-03-27 07:35:00,68761.3,68761.3,68653.4,68657.0,51.4910603
2026-03-27 07:40:00,68656.9,68660.3,68542.2,68590.1,75.10553646
2026-03-27 07:45:00,68590.0,68621.9,68534.6,68591.8,73.39098181
2026-03-27 07:50:00,68588.4,68633.9,68546.6,68600.0,69.9392032
2026-03-27 07:55:00,68600.1,68600.1,68446.2,68529.1,91.01094691
2026-03-27 08:00:00,68534.3,68626.8,68475.3,68591.1,31.92331205
2026-03-27 08:05:00,68589.0,68589.0,68478.0,68490.5,16.58766416
2026-03-27 08:10:00,68490.4,68506.8,68457.2,68467.9,7.45074521
2026-03-27 08:15:00,68467.9,68516.8,68375.1,68375.2,20.79279498
2026-03-27 08:20:00,68375.1,68415.8,68323.8,68375.2,33.15356701
2026-03-27 08:25:00,68375.3,68396.9,68228.1,68239.0,31.49423871
2026-03-27 08:30:00,68239.0,68305.6,68209.7,68230.6,12.64347363
2026-03-27 08:35:00,68230.6,68237.2,67614.1,67686.8,295.85152544
2026-03-27 08:40:00,67682.6,67837.0,67622.0,67827.4,62.10637458
2026-03-27 08:45:00,67825.1,67882.9,67768.8,67849.0,27.11518776
2026-03-27 08:50:00,67848.9,68060.0,67842.4,67972.1,67.24017746
2026-03-27 08:55:00,67972.1,67981.0,67911.5,67918.1,23.453892
2026-03-27 09:00:00,67917.2,67944.0,67800.1,67824.8,31.33953036
2026-03-27 09:05:00,67824.8,67824.8,67676.2,67682.8,21.10695548
2026-03-27 09:10:00,67682.0,67796.0,67552.1,67750.2,58.88285109
2026-03-27 09:15:00,67753.0,67869.1,67751.0,67849.1,16.4261643
2026-03-27 09:20:00,67849.0,67897.0,67838.1,67863.0,26.37009727
2026-03-27 09:25:00,67863.0,67950.7,67863.0,67950.1,18.52961564
2026-03-27 09:30:00,67950.1,67950.1,67783.1,67793.4,31.14259433
2026-03-27 09:35:00,67793.4,67829.4,67746.0,67797.6,11.10945356
2026-03-27 09:40:00,67799.0,67804.9,67705.5,67723.2,11.64865275
2026-03-27 09:45:00,67723.1,67848.9,67723.1,67826.0,12.37330649
2026-03-27 09:50:00,67826.0,67882.2,67798.1,67844.6,18.70825634
2026-03-27 09:55:00,67844.5,67855.3,67680.0,67692.1,30.88149627
2026-03-27 10:00:00,67692.2,67769.9,67592.5,67677.9,57.27642815
2026-03-27 10:05:00,67677.9,67747.0,67636.3,67715.3,30.6640719
2026-03-27 10:10:00,67715.2,67729.9,67650.6,67666.7,11.16360193
2026-03-27 10:15:00,67666.8,67744.1,67655.8,67693.9,9.71089051
2026-03-27 10:20:00,67694.0,67779.2,67687.1,67733.1,45.74186079
2026-03-27 10:25:00,67733.1,67781.0,67688.0,67769.0,14.764143
2026-03-27 10:30:00,67769.0,67778.0,67683.0,67694.5,7.57960053
2026-03-27 10:35:00,67693.0,67693.1,66838.8,66988.0,553.37039174
2026-03-27 10:40:00,66986.1,67052.8,66805.5,66896.1,132.88206137
2026-03-27 10:45:00,66896.1,66945.1,66792.3,66819.1,62.14038267
2026-03-27 10:50:00,66819.9,66938.1,66563.7,66643.0,152.8141761
2026-03-27 10:55:00,66643.0,66643.0,66300.1,66499.2,247.76994115
2026-03-27 11:00:00,66499.3,66551.1,66229.4,66454.0,138.3358846
2026-03-27 11:05:00,66454.0,66531.2,66408.1,66408.1,50.15705278
2026-03-27 11:10:00,66408.1,66630.7,66408.1,66620.0,47.1206961
2026-03-27 11:15:00,66620.1,66737.6,66597.8,66700.1,81.31579908
2026-03-27 11:20:00,66700.1,66740.5,66641.8,66641.9,32.44175313
2026-03-27 11:25:00,66641.9,66739.3,66619.5,66720.0,19.67741416
2026-03-27 11:30:00,66720.0,66751.8,66658.4,66702.7,17.98782082
2026-03-27 11:35:00,66702.6,66737.2,66654.0,66715.2,53.30956218
2026-03-27 11:40:00,66715.1,66780.0,66702.1,66765.1,15.05337316
2026-03-27 11:45:00,66765.2,66851.0,66730.1,66793.2,30.55530726
2026-03-27 11:50:00,66793.1,66809.9,66678.0,66749.9,22.65712214
2026-03-27 11:55:00,66749.9,66761.0,66680.7,66707.9,20.82698198
2026-03-27 12:00:00,66707.9,66749.4,66641.9,66644.1,26.17948423
2026-03-27 12:05:00,66644.1,66776.0,66628.1,66695.3,47.85229486
2026-03-27 12:10:00,66695.0,66728.4,66609.7,66644.0,23.64237339
2026-03-27 12:15:00,66644.0,66728.6,66610.1,66661.0,28.51758005
2026-03-27 12:20:00,66661.1,66671.0,66576.1,66602.5,22.7597102
2026-03-27 12:25:00,66602.6,66622.9,66525.1,66539.1,33.06627532
2026-03-27 12:30:00,66539.0,66608.1,66455.0,66466.1,60.18590849
2026-03-27 12:35:00,66466.1,66639.0,66428.9,66595.9,64.01478724
2026-03-27 12:40:00,66595.8,66622.6,66554.0,66622.6,13.50216804
2026-03-27 12:45:00,66623.5,66685.9,66482.0,66482.1,37.01981821
2026-03-27 12:50:00,66482.1,66609.5,66475.1,66602.6,19.027124
2026-03-27 12:55:00,66602.6,66630.0,66574.3,66610.1,32.24535666
2026-03-27 13:00:00,66610.1,66724.0,66610.1,66666.0,57.01795288
2026-03-27 13:05:00,66665.9,66666.0,66526.0,66557.0,35.85758653
2026-03-27 13:10:00,66557.0,66564.9,66511.1,66526.9,20.3235709
2026-03-27 13:15:00,66527.0,66564.0,66479.3,66544.0,22.97839008
2026-03-27 13:20:00,66544.0,66670.0,66544.0,66646.1,26.41584732
2026-03-27 13:25:00,66646.0,66716.9,66637.1,66688.7,36.18526795
2026-03-27 13:30:00,66688.7,66730.3,66335.0,66335.9,159.00671434
2026-03-27 13:35:00,66335.9,66470.0,66130.2,66435.1,252.67746392
