datetime,open,high,low,close,volume,volume_currency,buy_sell,confirm
2025-09-18 11:00:00,117266.0,117360.4,117058.7,117098.4,7.3158148,857561.328037804,857561.328037804,1
2025-09-18 12:00:00,117118.0,117329.0,117028.1,117186.0,12.22040328,1432044.720610323,1432044.720610323,1
2025-09-18 13:00:00,117168.0,117731.9,117056.0,117508.0,28.76928792,3377012.493608857,3377012.493608857,1
2025-09-18 14:00:00,117475.1,117925.2,117464.0,117711.0,61.9315027,7287930.297752735,7287930.297752735,1
2025-09-18 15:00:00,117707.0,117765.0,117383.0,117652.2,23.16037605,2723432.223245922,2723432.223245922,1
2025-09-18 16:00:00,117647.5,117877.8,117572.0,117637.8,15.69439579,1848092.763314509,1848092.763314509,1
2025-09-18 17:00:00,117647.9,117853.1,117486.0,117658.9,15.75883748,1854634.604463478,1854634.604463478,1
2025-09-18 18:00:00,117658.9,117989.2,117581.4,117892.7,16.94548724,1997315.156880758,1997315.156880758,1
2025-09-18 19:00:00,117880.1,117880.1,117254.7,117535.0,27.75784416,3262725.552058177,3262725.552058177,1
2025-09-18 20:00:00,117525.9,117727.2,117402.3,117598.5,6.88974562,810072.367729829,810072.367729829,1
2025-09-18 21:00:00,117586.8,117586.8,117366.0,117366.0,3.57500641,419921.58701024,419921.58701024,1
2025-09-18 22:00:00,117360.9,117397.4,117107.2,117143.8,15.96159268,1871356.016795162,1871356.016795162,1
2025-09-18 23:00:00,117102.1,117238.2,116707.3,117162.2,37.67003861,4405016.311825776,4405016.311825776,1
2025-09-19 00:00:00,117136.0,117499.5,117081.2,117466.2,22.83853095,2679000.784791582,2679000.784791582,1
2025-09-19 01:00:00,117492.9,117523.0,117192.5,117319.0,16.90392724,1984024.824837056,1984024.824837056,1
2025-09-19 02:00:00,117314.0,117361.0,117118.1,117182.1,37.6495035,4412565.45772463,4412565.45772463,1
2025-09-19 03:00:00,117189.9,117362.9,116945.0,117049.1,19.59014185,2294661.630864558,2294661.630864558,1
2025-09-19 04:00:00,117045.0,117176.0,116762.1,117069.0,23.65508589,2765735.470563124,2765735.470563124,1
2025-09-19 05:00:00,117054.1,117081.9,116866.1,116958.0,5.19603013,607880.288560169,607880.288560169,1
2025-09-19 06:00:00,116958.9,116958.9,116704.1,116732.8,14.00504356,1636040.900319989,1636040.900319989,1
2025-09-19 07:00:00,116740.0,117064.9,116740.0,116975.9,33.10609669,3870358.313446896,3870358.313446896,1
2025-09-19 08:00:00,116973.3,117164.0,116946.2,116986.8,11.80121337,1381453.284396671,1381453.284396671,1
2025-09-19 09:00:00,116986.9,117052.9,116543.5,116546.0,26.97826934,3150426.699679896,3150426.699679896,1
2025-09-19 10:00:00,116548.4,116613.2,116498.1,116613.2,12.60638358,1469353.531282528,1469353.531282528,1
2025-09-19 11:00:00,116599.1,116626.9,116356.4,116450.0,17.43620504,2030708.329410196,2030708.329410196,1
2025-09-19 12:00:00,116451.1,116583.9,116187.1,116209.9,69.97216443,8142981.004551998,8142981.004551998,1
2025-09-19 13:00:00,116217.0,116538.0,116121.8,116345.3,28.70194091,3338549.82167357,3338549.82167357,1
2025-09-19 14:00:00,116343.1,116550.0,115838.1,115956.6,28.88035694,3354137.454722989,3354137.454722989,1
