datetime,open,high,low,close,volume
2026-03-14 15:00:00,70598.8,70731.8,70492.2,70579.1,72.92836858
2026-03-14 16:00:00,70579.2,70707.8,70473.5,70668.1,61.74671234
2026-03-14 17:00:00,70668.2,70730.1,70580.5,70617.3,45.19551811
2026-03-14 18:00:00,70617.3,70714.8,70553.1,70665.8,41.34764791
2026-03-14 19:00:00,70665.8,70739.9,70593.4,70699.0,23.43644235
2026-03-14 20:00:00,70699.0,70856.7,70643.3,70803.8,41.98659058
2026-03-14 21:00:00,70803.8,70826.0,70646.8,70799.9,65.43697938
2026-03-14 22:00:00,70800.2,70817.2,70701.3,70714.1,74.55488902
2026-03-14 23:00:00,70715.0,71250.0,70715.0,71213.5,114.07079156
2026-03-15 00:00:00,71213.5,71219.1,70964.0,70985.3,176.11049963
2026-03-15 01:00:00,70985.2,71045.9,70857.0,71000.1,41.12422842
2026-03-15 02:00:00,71000.1,71630.0,71000.1,71450.1,191.62706782
2026-03-15 03:00:00,71450.1,71529.0,71230.0,71350.9,163.5536133
2026-03-15 04:00:00,71351.0,71660.0,71321.7,71582.5,123.46107472
2026-03-15 05:00:00,71584.0,71790.7,71466.0,71492.3,138.52418858
2026-03-15 06:00:00,71490.1,71600.1,71366.5,71453.6,95.89166265
2026-03-15 07:00:00,71453.7,71657.1,71403.6,71456.7,151.01028459
2026-03-15 08:00:00,71457.0,71718.0,71457.0,71717.9,115.16165689
2026-03-15 09:00:00,71717.9,71933.3,71704.7,71780.3,178.59482349
2026-03-15 10:00:00,71780.3,71914.8,71717.0,71780.1,57.65711127
2026-03-15 11:00:00,71780.1,71890.0,71666.6,71844.0,87.64975721
2026-03-15 12:00:00,71844.0,71844.1,71566.7,71612.9,53.06969501
2026-03-15 13:00:00,71613.0,71684.5,71259.2,71604.9,265.76937642
2026-03-15 14:00:00,71605.0,71689.5,71331.5,71624.3,134.16431394
2026-03-15 15:00:00,71624.3,71631.4,71412.0,71478.1,90.19574014
2026-03-15 16:00:00,71478.1,71589.9,71300.0,71433.0,115.20598415
2026-03-15 17:00:00,71432.9,71999.0,71408.9,71819.0,134.82215068
2026-03-15 18:00:00,71818.1,71888.8,71320.0,71387.3,139.53992002
2026-03-15 19:00:00,71387.3,71578.0,71339.3,71557.1,124.43359381
2026-03-15 20:00:00,71557.1,71930.0,71436.7,71729.1,88.55934592
